Name,Company,Pay,Age
James C Mullen,Biogen Idec,11405e3,<50
Robert W Lane,Deere & Co,1111e4,>=50
James Dimon,JPMorgan Chase,11036e3,>=50
Martin J Sullivan,American Intl Group,11e6,>=50
William R Klesse,Valero Energy,10916e3,>=50
Joseph W Luter III,Smithfield Foods,108e5,>=50
William W McGuire,UnitedHealth Group,107e5,>=50
Richard D Parsons,Time Warner,1064e4,>=50
Mark S McAndrew,Torchmark,10506e3,>=50
H Lee Scott Jr,Wal-Mart Stores,10465e3,>=50
John T Schuessler,Wendy's International,104e5,>=50
Paul T Hanrahan,AES,103e5,<50
David N Farr,Emerson Electric,102e5,>=50
Larry C Glasscock,WellPoint,10165e3,>=50
R Lawrence Montgomery,Kohl's,1005e4,>=50
Anthony J Alexander,FirstEnergy,998e4,>=50
Gary W Loveman,Harrah's Entertain,994e4,<50
Robert J Genader,Ambac Financial Group,988e4,>=50
Timothy R Eller,Centex,978e4,>=50
Bruce A Smith,Tesoro,978e4,>=50
David M Cote,Honeywell,974e4,>=50
James T Hackett,Anadarko Petroleum,974e4,>=50
Keith D Nosbusch,Rockwell Automation,964e4,>=50
Norman H Wesley,Fortune Brands,96e5,>=50
L Patrick Hassey,Allegheny Technologies,941e4,>=50
J Barry Griswell,Principal Financial,938e4,>=50
Robert L Moody,American Natl Ins,936e4,>=50
Lawrence R Johnston,Albertsons,929e4,>=50
Mayo A Shattuck III,Constellation Energy,9085e3,>=50
William R Berkley,WR Berkley,907e4,>=50
Hector de J Ruiz,Advanced Micro,902e4,>=50
Jeffrey S Lorberbaum,Mohawk Industries,896e4,>=50
James M Cracchiolo,Ameriprise Financial,883e4,<50
Mitchell H Caplan,E-Trade Financial,8815e3,<50
David J O'Reilly,Chevron,88e5,>=50
Frederic M Poses,American Standard,878e4,>=50
James L Dolan,Cablevision NY Group,8715e3,>=50
Frederick W Smith,FedEx,867e4,>=50
Craig S Donohue,Chicago Mercantile,861e4,<50
Richard J Dugas Jr,Pulte Homes,859e4,<50
Ronald D Sugar,Northrop Grumman,856e4,>=50
Mark Donegan,Precision Castparts,854e4,<50
John H Hammergren,McKesson,848e4,<50
George A Schaefer Jr,Fifth Third Bancorp,846e4,>=50
Paul J Curlander,Lexmark International,846e4,>=50
William C Weldon,Johnson & Johnson,845e4,>=50
H Lawrence Culp Jr,Danaher,8369999.999999999,<50
John D Johns,Protective Life,827e4,>=50
Miles D White,Abbott Laboratories,824e4,>=50
John P Surma,US Steel,816e4,>=50
Daniel R DiMicco,Nucor,815e4,>=50
Glenn M Renwick,Progressive,8140000.000000001,>=50
Ivan G Seidenberg,Verizon Commun,808e4,>=50
David N Weidman,Celanese,802e4,>=50
Robert D Walter,Cardinal Health,798e4,>=50
Arthur F Weinbach,Automatic Data,797e4,>=50
Paul S Otellini,Intel,788e4,>=50
Edward J Ludwig,"Becton, Dickinson",784e4,>=50
Nicholas D Chabraja,General Dynamics,782e4,>=50
Joseph R Tomkinson,Impac Mortgage Holding,7785e3,>=50
Gregory H Boyce,Peabody Energy,7786e3,>=50
Richard F Syron,Freddie Mac,7765e3,>=50
Ronald E Logue,State Street,773e4,>=50
Christopher M Connor,Sherwin-Williams,77e5,>=50
Anne M Mulcahy,Xerox,764e4,>=50
Mark C Pigott,Paccar,763e4,>=50
Nolan D Archibald,Black & Decker,753e4,>=50
Dale B Wolf,Coventry Health Care,NA,>=50
John Swainson,CA,741e4,>=50
Kenneth D Lewis,Bank of America,74e5,>=50
Donald E Felsinger,Sempra Energy,7346e3,>=50
Scott D Sheffield,Pioneer Natural Res,733e4,>=50
Scott T Ford,Alltel,728e4,<50
William A Osborn,Northern Trust,725e4,>=50
William F Hecht,PPL,72e5,>=50
Surya N Mohapatra,Quest Diagnostics,717e4,>=50
Richard A Manoogian,Masco,715e4,>=50
Bryce Blair,Avalonbay Communities,714e4,<50
Dennis H Reilley,Praxair,707e4,>=50
Robert J Keegan,Goodyear,696e4,>=50
J Brian Ferguson,Eastman Chemical,691e4,>=50
Terry J Lundgren,Federated Dept Strs,69e5,>=50
Russell Goldsmith,City National,69e5,>=50
Ronald E Hermance Jr,Hudson City Bancorp,6825e3,>=50
R David Hoover,Ball,676e4,>=50
Patricia F Russo,Lucent Technologies,676e4,>=50
J Larry Nichols,Devon Energy,6745e3,>=50
Vernon W Hill II,Commerce Bancorp,6585e3,>=50
John M Barth,Johnson Controls,656e4,>=50
Leslie H Wexner,Limited Brands,6565e3,>=50
Theodore M Solso,Cummins,653e4,>=50
Myron E Ullman III,JC Penney,652e4,>=50
Luke R Corbett,Kerr-McGee,652e4,>=50
E Neville Isdell,Coca-Cola,649e4,>=50
Ian M Cumming,Leucadia National,6445e3,>=50
John F Gifford,Maxim Integrated Prods,64e5,>=50
Jerry A Grundhofer,US Bancorp,638e4,>=50
Lewis Hay III,FPL Group,6345e3,>=50
Glen F Post III,CenturyTel,628e4,>=50
Mark A King,Affiliated Computer,6216e3,<50
David A Daberko,National City,612e4,>=50
John Adam Kanas,North Fork Bancorp,6025e3,>=50
Joel F Gemunder,Omnicare,6025e3,>=50
Robert S Miller,Delphi,6e6,>=50
C Dowd Ritter,AmSouth Bancorp,6e6,>=50
Henry L Meyer III,KeyCorp,596e4,>=50
William H Swanson,Raytheon,593e4,>=50
Michael J Jackson,AutoNation,5895e3,>=50
Robert A Essner,Wyeth,585e4,>=50
Wendell P Weeks,Corning,584e4,<50
Michael G Morris,American Electric,582e4,>=50
Fred Hassan,Schering-Plough,579e4,>=50
Donald E Washkewicz,Parker-Hannifin,575e4,>=50
Steven R Loranger,ITT Industries,574e4,>=50
John P Jones III,Air Prods & Chems,567e4,>=50
Stephen M Bennett,Intuit,565e4,>=50
Chase Carey,Directv Group,5645e3,>=50
Richard C Notebaert,Qwest Communications,56e5,>=50
J Wayne Leonard,Entergy,559e4,>=50
David L Kyle,Oneok,558e4,>=50
Robert B Pollock,Assurant,NA,>=50
Gregory E Johnson,Franklin Resources,557e4,<50
John H Tyson,Tyson Foods,554e4,>=50
Peter R Dolan,Bristol-Myers Squibb,554e4,>=50
C Robert Henrikson,MetLife,5506e3,>=50
Robert A Niblock,Lowe's Cos,55e5,<50
Peter A Darbee,PG&E,547e4,>=50
Jay S Fishman,St Paul Travelers,547e4,>=50
Paul R Charron,Liz Claiborne,545e4,>=50
John C Plant,TRW Automotive Hldgs,543e4,>=50
John A Allison IV,BB&T,538e4,>=50
Antonio M Perez,Eastman Kodak,535e4,>=50
Douglas R Conant,Campbell Soup,532e4,>=50
Jerald G Fishman,Analog Devices,527e4,>=50
Dennis J Kuester,Marshall & Ilsley,521e4,>=50
John D Finnegan,Chubb,521e4,>=50
W James McNerney Jr,Boeing,515e4,>=50
William Clay Ford Jr,Ford Motor,514e4,<50
Rick R Holley,Plum Creek Timber,506e4,>=50
Daniel J Starks,St Jude Medical,504e4,>=50
Anthony F Earley Jr,DTE Energy,502e4,>=50
Gary C Dunton,MBIA,501e4,>=50
Robert P May,Calpine,5e6,>=50
C John Wilder,TXU,496e4,<50
Joseph M Tucci,EMC,49e5,>=50
G Richard Wagoner Jr,General Motors,4825e3,>=50
Michel Mayer,Freescale Semi,479e4,<50
Robert J Stevens,Lockheed Martin,478e4,>=50
Gregg L Engles,Dean Foods,4755e3,<50
D Paul Jones Jr,Compass Bancshares,473e4,>=50
John V Faraci,International Paper,471e4,>=50
Richard D Kincaid,Equity Office Prop,4605e3,<50
Steven J Malcolm,Williams Cos,4565e3,>=50
Ronald L Hoffman,Dover,451e4,>=50
David B Dillon,Kroger,4495e3,>=50
Michael J Critelli,Pitney Bowes,449e4,>=50
Wesley W von Schack,Energy East,4445e3,>=50
Joel V Staff,Reliant Energy,439e4,>=50
Michael F Johnston,Visteon,438e4,>=50
Peter R Huntsman,Huntsman,437e4,<50
Paul S Pressler,Gap,43e5,<50
James W Owens,Caterpillar,4285e3,>=50
