gender,local,height,phone,facebook,youtube,shoe,postcode,boxoffice
Male,Non-Singaporean,171,86,437,183652,25.9,35,188020706
Male,Singaporean,171.6,96,56,3200000,28.7,83,535234033
Male,Singaporean,173,86,115,2200000,27.4,20,20000000
Male,Singaporean,164,27,0,5500000,27.4,85,176654505
Female,Singaporean,163,9,1,286000,39,92,"13092000	"
Male,Singaporean,186,85,9022,145459,30,6,"1346913161	 "
Male,Singaporean,170,0,30,700000,27.4,4,370782930
Female,Non-Singaporean,163,53,0,6541864,25.9,9,600200
Female,Non-Singaporean,174,97,79,7300000,25.4,0,28341469
Male,Non-Singaporean,173,28,5,120000,29.4,69,858357001
Female,Singaporean,169,15,43,290000,25.4,5,128261724
Female,Non-Singaporean,165,3,7,6091272,23.9,2,408010692
Female,Non-Singaporean,155,28,235,2500000,22.6,0,148809770
Female,Singaporean,161,87,18,16098,23.9,0,357000000
Female,Singaporean,160,20,117,2482217,24.7,4,1565885
Male,Non-Singaporean,171.7,57,0,3459821,27.4,9,100014699
Female,Singaporean,163,38,0,0,25.99,,19068240
Male,Singaporean,165,20,12,300000,27.4,9,188020017
Male,Non-Singaporean,167,37,2300,2000000,27.4,1,136000000
Male,Non-Singaporean,188,59,100000,5000000,28,9,1564474294
Female,Singaporean,165,86,15,2600000,25.4,7,"254134910	 "
Male,Non-Singaporean,180,65,233,200000,28,3,1000000000
Male,Singaporean,164,47,56,206472531,24.7,7,"277296953	 "
Male,Singaporean,173,61,25,9300,27,9,48958273
Female,Non-Singaporean,164,2,140,50000,23.9,5,2900000
Female,Non-Singaporean,164,85,0,10261401,24.7,28,137400141
Female,Singaporean,166,11,0,666956850,24.7,3,363070709
Male,Singaporean,183,60,0,1000000,40,9,144105346
Female,Singaporean,158,88,1,690000000,25.4,7,317871467
Male,Singaporean,177,95,0,250000,27.4,97,133375846
Male,Non-Singaporean,183,91,41,4011446,29.4,,520000
Male,Other or prefer not to say,174,51,12,600000,28,15,51438175
Female,Non-Singaporean,158,69,266,624000,24.7,1,56468410
Female,Singaporean,161,90,,1100,23,6,261441092
Female,Non-Singaporean,160,,35,1046931,24.7,0,30857814
Female,Non-Singaporean,167,,7,27000000,25.4,1,760507625
Male,Singaporean,170,84,,,28.7,3,
Male,Non-Singaporean,176,21,0,548339,28,74,151101803
Male,Singaporean,166,1,1,250000000,27.4,7,659363944
"Neither, both, it depends, something else, or prefer not to say",Non-Singaporean,170,10,115,358040,28,4,5017246
Male,Singaporean,163,11,0,910268,26.6,43,0
"Neither, both, it depends, something else, or prefer not to say",Non-Singaporean,170,89,11,11000,27.4,0,507259
Male,Non-Singaporean,178,79,200,1100685,28,68,5017246
Male,Singaporean,165,70,0,12000,27.4,4,14000000
Female,Singaporean,166,78,,651710,24.7,6,6532874
Male,Singaporean,170,48,3,3600000,28,9,330455270
Female,Non-Singaporean,158,14,238,176829,24.7,9,"169708112	"
Male,Singaporean,174,4,,324054,27.4,3,
Female,Singaporean,164,4,,51000,25.4,1,
Female,Singaporean,166,20,4,138000,25.9,10,404564861
Female,Singaporean,171,50,,,27,6,6532874
Male,Non-Singaporean,174,22,100,88000000,40,0,4
Female,Non-Singaporean,157,85,342,4400000,38,,
Female,Singaporean,158,56,,880,36,4,96520674
Female,Singaporean,170,10,,4200000,25.9,1,238500000
Male,Singaporean,188,82,2100,570000,30,1,760000000
Female,Singaporean,176,80,583000,160000000,26.6,,41011711
Male,Singaporean,172,31,0,390000,27.4,4,336530303
Female,Non-Singaporean,174,9,,4785256,24.7,,70831760
Male,Non-Singaporean,172,51,38,381000,25.9,,70511035
Female,Other or prefer not to say,158,6,,1800000,23.9,3,"5017246	"
Female,Singaporean,167,93,,168227,23.9,6,6532874
Female,Singaporean,162,21,8900,17000,25.9,20,148809770
Male,Singaporean,176,87,7,5700000,27,3,321455689
Female,Non-Singaporean,155,7,92,474952,38,3,"659363944	"
Female,Singaporean,158,38,2,240000,25,7,75286229
Female,Singaporean,168,78,,494000,25.4,60,12427717
Female,Singaporean,168,64,,178000,39,6,
Male,Singaporean,170,14,26,29826898,28,0,28262574
Male,Non-Singaporean,178,7,43,180000,28.7,22,330455270
Male,Singaporean,179,30,0,1000000,28.7,4,858354001
Male,Singaporean,172,90,33,1100000,28,7,"378858340	"
Male,Non-Singaporean,185,90,9200,1313647,29.4,2,351723989
Male,Non-Singaporean,169,24,32,348000,26.6,0,404564861
Male,Singaporean,170,69,0,100000,28.7,7,54513710
Male,Singaporean,170,69,0,100000,28.7,7,510439480
Male,Singaporean,178,70,1,135000,28.7,3,151101803
Male,Non-Singaporean,171,67,134,73000000,28,93,330455270
Male,Non-Singaporean,178,82,0,100000,29.4,41,"188020017	"
Male,Singaporean,170,18,6,720000,25.9,7,206445654
Male,Non-Singaporean,188,56,66,174000,31,4,36000000
Female,Singaporean,158,55,,199598,23.1,5,100546139
Male,Singaporean,175,33,265,876212,27.4,6,188020017
Female,Non-Singaporean,158,97,0,1300000000,25.4,91,"2796255402	"
Female,Non-Singaporean,156,94,,754000,23.9,1,150394119
Female,Other or prefer not to say,169,0,64,3200000,26.6,1,828332032
Male,Singaporean,170,39,22,2600559,26.6,23,188020017
Female,Non-Singaporean,148,18,5,1104,23.9,18,1564549294
Male,Non-Singaporean,158,86,5,12000000,23.9,0,3500605
"Neither, both, it depends, something else, or prefer not to say",Singaporean,162,25,0,315000,26.6,39,"15024049	"
Female,Singaporean,158,17,31,418915,22.6,33,356461711
Female,Non-Singaporean,173,52,12,487000,25.4,0,16491080
Female,Non-Singaporean,162,45,0,500000,38,3,"	858354001"
Female,Singaporean,163,46,,4312432,23.1,2,
Female,Other or prefer not to say,158,60,52,32680123,39,27,45055776
Female,Non-Singaporean,155,85,,575743,23.5,3,31524275
Male,Non-Singaporean,175,66,6000,451244,28,0,128261724
Female,Non-Singaporean,170,89,0,43050,28.7,,30857814
Male,Non-Singaporean,152,4,,,27.4,0,45875171
Female,Singaporean,175,27,1,145578,27.4,5,6758416
Female,Singaporean,157,21,4,28000,23.9,3,2026499
Female,Singaporean,162,66,0,211000,24.7,1,163958031
Female,Singaporean,163,75,0,2000000,24.7,2,6762000
Male,Non-Singaporean,171,21,27,121000,27.4,8,2796255402
Male,Non-Singaporean,170,77,26,5100000,40,0,3920000000
Female,Singaporean,171,55,419,4700000,25.4,25,"176040665	"
Male,Non-Singaporean,178,63,375,15517,29.4,0,3108485
Female,Singaporean,160,3,,"1100000	",24.7,9,75286229
Male,Singaporean,179,54,73,819172,28,1,535234033
Male,Non-Singaporean,190,77,300,750000,29.4,85,100546139
Male,Non-Singaporean,180,68,1000,2500000,28.7,,56631572
Male,Non-Singaporean,177,38,8,915594,27.4,33,5566534
Female,Singaporean,163,68,6,1200,23.9,1,255407969
Male,Non-Singaporean,182,78,120,513666783,26.6,9,858354001
Female,Singaporean,160,11,10,6900,23.9,9,5879650
Female,Singaporean,168,78,0,30230271,26.6,9,6532874
Male,Non-Singaporean,180,64,2,200,29.4,80,"188020017	"
Female,Singaporean,169,78,0,10900,25.4,0,29
Female,Singaporean,157,41,50,17000000,27.4,3,200821936
Male,Non-Singaporean,188,20,838,1103958,29.4,0,130096601
Female,Other or prefer not to say,161,59,170,1000000,25.9,33,11902715
Male,Singaporean,168,21,43,834830,27.4,8,31524275
